Name,Designator,Footprint,Quantity,Mouser,Link
"Jack 3,5mm Mono","J1/2,J3/4,J5/6,J7/8,J9/10,J11/12,J13/14,J15",,15,,https://www.thonk.co.uk/shop/thonkiconn/
Leds Red 3mm,"LED1-B-CH1,LED2-B-CH1,LED3-B-CH1,LED4-B-CH1,LED5-B-CH1,LED5-T-CH1,LED4-T-CH1,LED3-T-CH1,LED2-T-CH1,LED1-T-CH1",,10,,https://de.aliexpress.com/item/1005003337160679.html
Leds Green 3mm,"LED1-B-CH2,LED2-B-CH2,LED3-B-CH2,LED4-B-CH2,LED5-B-CH2,LED5-T-CH2,LED4-T-CH2,LED3-T-CH2,LED2-T-CH2,LED1-T-CH2",,10,,https://de.aliexpress.com/item/1005003337160679.html
Leds Yellow 3mm,"LED1-B-CH3,LED2-B-CH3,LED3-B-CH3,LED4-B-CH3,LED5-B-CH3,LED5-T-CH3,LED4-T-CH3,LED3-T-CH3,LED2-T-CH3,LED1-T-CH3",,10,,https://de.aliexpress.com/item/1005003337160679.html
Ferrite Beads 100MHz 1000Ohm 300mA,"FB2,FB1",603,2,710-742792664 ,
SS1040_R1_00001,"D2,D1",SOD-123-2 ,2,241-SS1040_R1_00001 ,
100NF,"C4,C3,C5,C6,C7,C8,C9,C10,C11,C12",C0603,10,80-C603C104K5RAC3121 ,
22u,"C1,C2",Radial ,2,667-ECE-A1EKA220 ,
TL074,"IC1,IC2,IC3,IC4",TSSOP-14,4,595-TL074CPWR ,
4K7,"R8,R9,R10,R12,R11",R0603,5,667-ERJ-3EKF4701V ,
2K,"R2,R3,R5,R4,R6",R0603,5,667-ERJ-3EKF2001V ,
1K,"R14,R15,R16,R17,R18",R0603,5,667-ERJ-3EKF1001V ,
1M,"R1,R7,R13",R0603,3,667-ERJ-3EKF1004V ,
2x5 Male Pin Header 2.54mm ,,,1,,
